HA,decimalDate
EPI1574305,2016.7486338797814
EPI961478,2016.7486338797814
EPI909452,2016.7513661202186
EPI926613,2016.7568306010928
EPI858836,2016.792349726776
EPI859199,2016.7978142076502
EPI858844,2016.8005464480875
EPI861568,2016.827868852459
EPI867108,2016.8333333333333
EPI867100,2016.8333333333333
EPI962066,2016.8333333333333
EPI860231,2016.8360655737704
EPI859207,2016.8360655737704
EPI2195568,2016.8360655737704
EPI859653,2016.8497267759562
EPI860393,2016.8497267759562
EPI909364,2016.8524590163934
EPI860401,2016.8524590163934
EPI1019774,2016.8524590163934
EPI1359250,2016.8524590163934
EPI1019654,2016.8524590163934
EPI860518,2016.8524590163934
EPI1019854,2016.8551912568305
EPI962046,2016.8551912568305
EPI1019846,2016.8551912568305
EPI861011,2016.8551912568305
EPI1019830,2016.8551912568305
EPI1019838,2016.8551912568305
EPI1019814,2016.8551912568305
EPI1019822,2016.8551912568305
EPI1019366,2016.8579234972678
EPI1019486,2016.8579234972678
EPI860519,2016.860655737705
EPI860534,2016.860655737705
EPI1019670,2016.860655737705
EPI1019390,2016.860655737705
EPI962056,2016.860655737705
EPI1019374,2016.860655737705
EPI969254,2016.8661202185792
EPI1117253,2016.8688524590164
EPI1701629,2016.8688524590164
EPI863865,2016.8688524590164
EPI1019790,2016.8688524590164
EPI1019806,2016.8688524590164
EPI1019870,2016.8688524590164
EPI1019862,2016.8688524590164
EPI1019798,2016.8688524590164
EPI1848814,2016.8688524590164
EPI1848822,2016.8688524590164
EPI1848830,2016.8688524590164
EPI1019414,2016.8715846994535
EPI1736924,2016.8743169398906
EPI1019710,2016.8743169398906
EPI1019726,2016.8743169398906
EPI1019766,2016.8743169398906
EPI1019718,2016.877049180328
EPI1019702,2016.877049180328
EPI1019662,2016.877049180328
EPI1019694,2016.877049180328
EPI1019686,2016.877049180328
EPI1019782,2016.877049180328
EPI1736939,2016.879781420765
EPI1736932,2016.879781420765
EPI963516,2016.8879781420765
EPI863826,2016.8879781420765
EPI953337,2016.8879781420765
EPI863849,2016.8879781420765
EPI909460,2016.8879781420765
EPI863834,2016.8879781420765
EPI863857,2016.8879781420765
EPI1736948,2016.8907103825136
EPI1550914,2016.8934426229507
EPI881292,2016.8934426229507
EPI959331,2016.8934426229507
EPI1549261,2016.896174863388
EPI1032549,2016.896174863388
EPI866976,2016.8989071038252
EPI1802161,2016.8989071038252
EPI1019454,2016.8989071038252
EPI869687,2016.9016393442623
EPI956128,2016.9016393442623
EPI1019510,2016.9043715846994
EPI932938,2016.9043715846994
EPI1032516,2016.9043715846994
EPI1297287,2016.9043715846994
EPI1019518,2016.9043715846994
EPI869809,2016.9071038251366
EPI1701644,2016.9071038251366
EPI1032524,2016.9098360655737
EPI1019382,2016.9125683060108
EPI1019462,2016.9125683060108
EPI1575323,2016.9153005464482
EPI1019878,2016.9153005464482
EPI1019470,2016.9153005464482
EPI1575319,2016.9153005464482
EPI1019542,2016.9153005464482
EPI866978,2016.9180327868853
EPI869924,2016.9180327868853
EPI1019446,2016.9262295081967
EPI1019566,2016.9262295081967
EPI1019758,2016.9262295081967
EPI1019742,2016.9262295081967
EPI1019526,2016.9289617486338
EPI1019734,2016.9289617486338
EPI1701797,2016.9289617486338
EPI1019750,2016.931693989071
EPI1032532,2016.931693989071
EPI1019558,2016.9344262295083
EPI1010489,2016.9344262295083
EPI1010500,2016.9344262295083
EPI1019598,2016.9371584699454
EPI1701819,2016.9371584699454
EPI1019582,2016.9398907103825
EPI1019574,2016.9398907103825
EPI1019638,2016.9398907103825
EPI1019534,2016.9426229508197
EPI1032540,2016.9426229508197
EPI1019398,2016.9453551912568
EPI1019622,2016.9453551912568
EPI1019606,2016.948087431694
EPI881293,2016.948087431694
EPI1019550,2016.948087431694
EPI869938,2016.948087431694
EPI1019646,2016.948087431694
EPI1117261,2016.948087431694
EPI1019590,2016.948087431694
EPI1159809,2016.948087431694
EPI1019502,2016.948087431694
EPI1019678,2016.950819672131
EPI1019614,2016.950819672131
