#node	date	numeric date
NODE_0000012	2015-11-29	2015.909611
NODE_0000006	2015-11-29	2015.909611
EPI1737023	2017-01-16	2017.041096
NODE_0000597	2015-12-17	2015.959254
NODE_0000598	2017-01-01	2017.000000
EPI1272941	2017-01-01	2017.000000
EPI1272949	2017-01-01	2017.000000
NODE_0000601	2016-08-18	2016.630973
EPI1009528	2017-03-06	2017.175342
NODE_0000602	2016-09-13	2016.699560
EPI1009536	2017-02-24	2017.147945
NODE_0000016	2017-02-24	2017.147945
EPI1009512	2017-02-24	2017.147945
EPI1009504	2017-02-24	2017.147945
NODE_0000604	2016-05-25	2016.397774
EPI961478	2016-10-01	2016.748634
NODE_0000605	2016-09-23	2016.729482
EPI891674	2017-01-20	2017.052055
NODE_0000606	2016-10-15	2016.787016
EPI873619	2016-12-27	2016.986339
EPI881293	2016-12-13	2016.948087
NODE_0000017	2016-11-11	2016.861928
EPI962074	2017-02-14	2017.120548
NODE_0000018	2016-11-11	2016.861928
EPI990778	2016-12-27	2016.986339
NODE_0000019	2016-11-13	2016.867374
NODE_0000021	2016-12-06	2016.929152
EPI986362	2017-03-07	2017.178082
EPI1117261	2016-12-13	2016.948087
NODE_0000611	2016-12-29	2016.991803
EPI888600	2016-12-29	2016.991803
EPI954623	2017-01-10	2017.024658
NODE_0000613	2016-11-07	2016.852114
NODE_0000614	2017-01-23	2017.060274
EPI1737033	2017-01-23	2017.060274
EPI1737420	2017-01-23	2017.060274
NODE_0000615	2016-12-04	2016.924021
EPI1737404	2017-01-22	2017.057534
EPI1737493	2017-01-28	2017.073973
NODE_0000617	2016-12-19	2016.964593
EPI1737517	2017-02-23	2017.145205
NODE_0000618	2017-01-02	2017.004110
EPI1737507	2017-02-23	2017.145205
EPI984996	2017-01-22	2017.057534
EPI981847	2017-01-30	2017.079452
NODE_0000046	2017-01-22	2017.059133
EPI1737543	2017-03-09	2017.183562
NODE_0000028	2017-03-02	2017.164384
EPI1737533	2017-03-02	2017.164384
EPI1737525	2017-03-02	2017.164384
NODE_0000048	2017-01-05	2017.012703
EPI1123253	2017-05-22	2017.386301
NODE_0000029	2017-01-20	2017.053323
NODE_0000030	2017-01-21	2017.055807
NODE_0000031	2017-01-22	2017.057534
EPI1737412	2017-01-22	2017.057534
EPI1737380	2017-01-22	2017.057534
NODE_0000032	2017-01-22	2017.057534
EPI1737396	2017-01-22	2017.057534
EPI1737388	2017-01-22	2017.057534
NODE_0000033	2017-01-25	2017.066360
EPI1737477	2017-01-28	2017.073973
NODE_0000036	2017-01-26	2017.069655
NODE_0000037	2017-01-27	2017.072246
NODE_0000038	2017-01-28	2017.073973
EPI1737485	2017-01-28	2017.073973
EPI1737437	2017-01-28	2017.073973
NODE_0000039	2017-01-28	2017.073973
EPI1737469	2017-01-28	2017.073973
EPI1737428	2017-01-28	2017.073973
NODE_0000043	2017-01-27	2017.072246
NODE_0000044	2017-01-28	2017.073973
EPI1737461	2017-01-28	2017.073973
EPI1737445	2017-01-28	2017.073973
NODE_0000045	2017-01-28	2017.073973
EPI1737041	2017-01-28	2017.073973
EPI1737453	2017-01-28	2017.073973
NODE_0000638	2016-01-16	2016.043144
EPI1159809	2016-12-13	2016.948087
NODE_0000640	2016-02-11	2016.113397
EPI1701683	2017-01-20	2017.052055
NODE_0000641	2016-11-14	2016.871187
EPI1330543	2017-01-11	2017.027397
NODE_0000642	2017-02-15	2017.125226
NODE_0000643	2017-05-03	2017.334247
EPI1328856	2017-05-03	2017.334247
EPI1330520	2017-05-03	2017.334247
NODE_0000644	2017-05-03	2017.334247
EPI1329061	2017-05-03	2017.334247
EPI1329129	2017-05-03	2017.334247
EPI1329121	2017-05-03	2017.334247
EPI1330528	2017-05-03	2017.334247
NODE_0000648	2016-12-18	2016.961994
EPI1215184	2017-01-01	2017.000000
NODE_0000649	2017-01-01	2017.000000
EPI1897173	--	--
EPI1215152	--	--
EPI1215461	--	--
EPI1215437	--	--
EPI1215168	2017-01-01	2017.000000
EPI1215453	2017-01-01	2017.000000
EPI1215445	2017-01-01	2017.000000
EPI1215429	2017-01-01	2017.000000
EPI1215160	2017-01-01	2017.000000
