Name,Date,Region,Strain
EPI_ISL_1009679,2020.9890710382513,Asia,A/duck/Korea/H007/2020
EPI_ISL_1009680,2020.9890710382513,Asia,A/White_peacock/Korea/H533/2020
EPI_ISL_1009681,2020.9918032786886,Asia,A/chicken/Korea/H541/2020
EPI_ISL_1009682,2020.9918032786886,Asia,A/chicken/Korea/H544/2020
EPI_ISL_1009683,2020.9918032786886,Asia,A/duck/Korea/H542/2020
EPI_ISL_1009684,2020.9945355191257,Asia,A/duck/Korea/H548/2020
EPI_ISL_1009685,2020.9945355191257,Asia,A/duck/Korea/H549/2020
EPI_ISL_1009686,2020.9972677595629,Asia,A/chicken/Korea/H550/2020
EPI_ISL_1009687,2020.9972677595629,Asia,A/quail/Korea/H551/2020
EPI_ISL_1009688,2021.0,Asia,A/chicken/Korea/H001/2021
EPI_ISL_1009689,2021.0054794520547,Asia,A/chicken/Korea/H002/2021
EPI_ISL_1009690,2021.0082191780823,Asia,A/chicken/Korea/H008/2021
EPI_ISL_1009691,2021.0082191780823,Asia,A/duck/Korea/H009/2021
EPI_ISL_1009692,2021.0109589041097,Asia,A/duck/Korea/H010/2021
EPI_ISL_1009693,2021.0191780821917,Asia,A/chicken/Korea/H022/2021
EPI_ISL_1009694,2021.021917808219,Asia,A/duck/Korea/H025/2021
EPI_ISL_1009695,2020.8387978142077,Asia,A/spot-billed_duck/Korea/WA612/2020
EPI_ISL_1009696,2020.8579234972678,Asia,A/mandarin_duck/Korea/WB80/2020
EPI_ISL_1009697,2020.8934426229507,Asia,A/wild_bird/Korea/H357/2020
EPI_ISL_1009698,2020.8989071038252,Asia,A/mallard/Korea/WA820/2020
EPI_ISL_1009699,2020.8989071038252,Asia,A/mandarin_duck/Korea/WA831/2020
EPI_ISL_1009700,2020.9016393442623,Asia,A/spot-billed_duck/Korea/WA854/2020
EPI_ISL_1009701,2020.9016393442623,Asia,A/mandarin_duck/Korea/WA857/2020
EPI_ISL_1009702,2020.9153005464482,Asia,A/mandarin_duck/Korea/WA877/2020
EPI_ISL_1009703,2020.9153005464482,Asia,A/spot-billed_duck/Korea/WA889/2020
EPI_ISL_1009704,2020.9153005464482,Asia,A/mandarin_duck/Korea/WA899/2020
EPI_ISL_1009705,2020.9153005464482,Asia,A/mandarin_duck/Korea/WA913/2020
EPI_ISL_1009706,2020.9180327868853,Asia,A/wild_bird/Korea/H379/2020
EPI_ISL_1009707,2020.950819672131,Asia,A/wild_bird/Korea/H467/2020
EPI_ISL_1009708,2020.9535519125684,Asia,A/spot-billed_duck/Korea/WA1000/2020
EPI_ISL_1009709,2020.9562841530055,Asia,A/wild_bird/Korea/H496-3/2020
EPI_ISL_1009710,2020.877049180328,Asia,A/wild_duck/Korea/H331/2020
EPI_ISL_1009711,2021.013698630137,Asia,A/duck/Korea/H016/2021
EPI_ISL_1033028,2021.0876712328768,Europe,A/chicken/Czech_Republic/2395/2021
EPI_ISL_1033029,2021.0904109589042,Europe,A/chicken/Czech_Republic/2502-1/2021
EPI_ISL_1033030,2021.0904109589042,Europe,A/chicken/Czech_Republic/2502-2/2021
EPI_ISL_1033124,2021.0931506849315,Europe,A/mute_swan/Czech_Republic/2600/2021
EPI_ISL_1038924,2020.9453551912568,Europe,A/Astrakhan/3212/2020
EPI_ISL_1039231,2020.9453551912568,Europe,A/chicken/Astrakhan/321-01/2020
EPI_ISL_1039232,2020.9453551912568,Europe,A/chicken/Astrakhan/321-01/2020
EPI_ISL_1039234,2020.9453551912568,Europe,A/chicken/Astrakhan/321-05/2020
EPI_ISL_1039235,2020.9453551912568,Europe,A/chicken/Astrakhan/321-05/2020
EPI_ISL_1039236,2020.9453551912568,Europe,A/chicken/Astrakhan/321-06/2020
EPI_ISL_1039238,2020.9453551912568,Europe,A/chicken/Astrakhan/321-09/2020
EPI_ISL_1039239,2020.9453551912568,Europe,A/chicken/Astrakhan/321-10/2020
EPI_ISL_1039240,2020.9453551912568,Europe,A/chicken/Astrakhan/321-10/2020
EPI_ISL_1041108,2021.0602739726028,Asia,A/duck/Chiba/D2A-8C/2021
EPI_ISL_1041120,2021.0602739726028,Asia,A/duck/Chiba/D2B-7C/2021
EPI_ISL_1041121,2021.0602739726028,Asia,A/duck/Chiba/D2B-9C/2021
EPI_ISL_1041124,2021.109589041096,Asia,A/chicken/Chiba/I1C/2021
EPI_ISL_1041125,2021.109589041096,Asia,A/chicken/Chiba/I1T/2021
EPI_ISL_1041126,2021.109589041096,Asia,A/chicken/Chiba/I2T/2021
EPI_ISL_1041127,2021.109589041096,Asia,A/chicken/Chiba/I3T/2021
EPI_ISL_1041128,2021.109589041096,Asia,A/chicken/Chiba/J1C/2021
EPI_ISL_1041129,2021.109589041096,Asia,A/chicken/Chiba/J1T/2021
EPI_ISL_1041130,2021.109589041096,Asia,A/chicken/Chiba/J6C/2021
EPI_ISL_1041131,2021.109589041096,Asia,A/chicken/Chiba/J6T/2021
EPI_ISL_1041132,2021.1041095890412,Asia,A/chicken/Tokushima/B1T/2020
EPI_ISL_1041133,2021.1041095890412,Asia,A/chicken/Tokushima/B2T/2020
EPI_ISL_1041134,2021.1041095890412,Asia,A/chicken/Tokushima/B3T/2020
EPI_ISL_1041135,2021.1041095890412,Asia,A/chicken/Tokushima/B4T/2020
EPI_ISL_1041136,2021.0602739726028,Asia,A/duck/Chiba/D1A-10T/2021
EPI_ISL_1041137,2021.0602739726028,Asia,A/duck/Chiba/D1A-1T/2021
EPI_ISL_1041138,2021.0602739726028,Asia,A/duck/Chiba/D1A-2T/2021
EPI_ISL_1041139,2021.0602739726028,Asia,A/duck/Chiba/D1A-3T/2021
EPI_ISL_1041140,2021.0602739726028,Asia,A/duck/Chiba/D1A-4T/2021
EPI_ISL_1041141,2021.0602739726028,Asia,A/duck/Chiba/D1A-5T/2021
EPI_ISL_1041142,2021.0602739726028,Asia,A/duck/Chiba/D1A-6T/2021
EPI_ISL_1041143,2021.0602739726028,Asia,A/duck/Chiba/D1A-7T/2021
EPI_ISL_1041144,2021.0602739726028,Asia,A/duck/Chiba/D1A-8T/2021
EPI_ISL_1041145,2021.0602739726028,Asia,A/duck/Chiba/D1A-9T/2021
EPI_ISL_1041146,2021.0602739726028,Asia,A/duck/Chiba/D1B-10T/2021
EPI_ISL_1041147,2021.0602739726028,Asia,A/duck/Chiba/D1B-1T/2021
EPI_ISL_1041148,2021.0602739726028,Asia,A/duck/Chiba/D1B-2T/2021
EPI_ISL_1041149,2021.0602739726028,Asia,A/duck/Chiba/D1B-3T/2021
EPI_ISL_1041150,2021.0602739726028,Asia,A/duck/Chiba/D1B-4T/2021
EPI_ISL_1041151,2021.0602739726028,Asia,A/duck/Chiba/D1B-5T/2021
EPI_ISL_1041152,2021.0602739726028,Asia,A/duck/Chiba/D1B-6T/2021
EPI_ISL_1041153,2021.0602739726028,Asia,A/duck/Chiba/D1B-7T/2021
EPI_ISL_1041154,2021.0602739726028,Asia,A/duck/Chiba/D1B-8T/2021
EPI_ISL_1041155,2021.0602739726028,Asia,A/duck/Chiba/D1B-9T/2021
EPI_ISL_1041158,2021.1205479452055,Asia,A/chicken/Chiba/K11C/2021
EPI_ISL_1041159,2021.1205479452055,Asia,A/chicken/Chiba/K11T/2021
EPI_ISL_1041160,2021.1205479452055,Asia,A/chicken/Chiba/K5C/2021
EPI_ISL_1041161,2021.1205479452055,Asia,A/chicken/Chiba/K5T/2021
EPI_ISL_1041165,2021.0602739726028,Asia,A/duck/Chiba/D2A-10T/2021
EPI_ISL_1041166,2021.0602739726028,Asia,A/duck/Chiba/D2A-1T/2021
EPI_ISL_1041167,2021.0602739726028,Asia,A/duck/Chiba/D2A-2T/2021
EPI_ISL_1041168,2021.0602739726028,Asia,A/duck/Chiba/D2A-3T/2021
EPI_ISL_1041169,2021.0602739726028,Asia,A/duck/Chiba/D2A-5T/2021
EPI_ISL_1041170,2021.0602739726028,Asia,A/duck/Chiba/D2A-7T/2021
EPI_ISL_1041171,2021.0602739726028,Asia,A/duck/Chiba/D2A-9T/2021
EPI_ISL_1041172,2021.109589041096,Asia,A/eastern_buzzard/Toyama/160213C/2021
EPI_ISL_1041173,2021.109589041096,Asia,A/eastern_buzzard/Toyama/160213T/2021
EPI_ISL_1041176,2021.1260273972603,Asia,A/owl/Tochigi/090204C/2021
EPI_ISL_1041177,2021.123287671233,Asia,A/peregrine_falcon/Tochigi/090205C/2021
EPI_ISL_1041178,2021.123287671233,Asia,A/peregrine_falcon/Tochigi/090205T/2021
EPI_ISL_1041180,2021.1178082191782,Asia,A/whooper_swan/Niigata/150212T/2021
