#node	date	numeric date
NODE_0000001	2000-02-01	2000.085846
NODE_0000766	2020-09-20	2020.718579
EPI_ISL_739690	2020-09-20	2020.718579
EPI_ISL_739691	2020-09-20	2020.718579
EPI_ISL_739692	2020-09-20	2020.718579
NODE_0000765	2015-07-23	2015.556207
NODE_0000767	2016-12-20	2016.969791
NODE_0000768	2018-02-20	2018.139134
EPI_ISL_603233	2020-06-03	2020.420765
EPI_ISL_603235	2020-02-21	2020.139344
NODE_0000769	2017-01-25	2017.066316
EPI_ISL_684037	--	--
NODE_0000770	2017-08-02	2017.585820
EPI_ISL_9594306	--	--
NODE_0000771	2019-06-02	2019.418262
NODE_0000772	2019-12-15	2019.954276
EPI_ISL_810963	2020-04-14	2020.284153
NODE_0000773	2020-02-03	2020.091693
EPI_ISL_833488	2020-04-18	2020.295082
EPI_ISL_804043	2020-04-07	2020.265027
EPI_ISL_808250	2020-04-11	2020.275956
EPI_ISL_833487	2020-04-19	2020.297814
EPI_ISL_811146	2020-04-30	2020.327869
EPI_ISL_811134	2020-04-21	2020.303279
EPI_ISL_833485	2020-04-14	2020.284153
EPI_ISL_833580	2020-04-18	2020.295082
EPI_ISL_833482	2020-04-10	2020.273224
EPI_ISL_796011	2020-03-26	2020.232240
NODE_0000777	2020-03-20	2020.218186
EPI_ISL_813972	2020-05-11	2020.357923
NODE_0000011	2020-04-30	2020.327869
EPI_ISL_813971	2020-05-05	2020.341530
EPI_ISL_811144	2020-04-30	2020.327869
NODE_0000014	2020-03-24	2020.227681
EPI_ISL_846586	2020-06-05	2020.426230
NODE_0000015	2020-03-25	2020.229508
EPI_ISL_780096	2020-03-25	2020.229508
NODE_0000016	2020-04-08	2020.267760
EPI_ISL_804045	2020-04-08	2020.267760
NODE_0000017	2020-04-09	2020.270492
EPI_ISL_804047	2020-04-09	2020.270492
NODE_0000018	2020-04-12	2020.280499
NODE_0000020	2020-04-14	2020.284153
EPI_ISL_811128	2020-04-14	2020.284153
EPI_ISL_810970	2020-04-14	2020.284153
NODE_0000022	2020-04-13	2020.282326
EPI_ISL_833579	2020-04-14	2020.284153
NODE_0000023	2020-04-14	2020.284153
EPI_ISL_809658	2020-04-14	2020.284153
NODE_0000024	2020-04-16	2020.290523
EPI_ISL_846584	2020-04-17	2020.292350
NODE_0000025	2020-04-17	2020.292350
EPI_ISL_833581	2020-04-17	2020.292350
NODE_0000026	2020-04-21	2020.304184
EPI_ISL_833583	2020-04-22	2020.306011
NODE_0000027	2020-04-22	2020.306011
EPI_ISL_833582	2020-04-22	2020.306011
NODE_0000028	2020-04-23	2020.308743
EPI_ISL_811135	2020-04-23	2020.308743
NODE_0000029	2020-04-30	2020.327869
EPI_ISL_846583	2020-04-30	2020.327869
NODE_0000030	2020-05-04	2020.338798
EPI_ISL_846585	2020-05-13	2020.363388
EPI_ISL_813599	2020-05-04	2020.338798
NODE_0000788	2019-07-07	2019.513710
EPI_ISL_525448	2020-02-07	2020.101093
NODE_0000791	2019-08-29	2019.657614
EPI_ISL_405391	2020-01-17	2020.043716
EPI_ISL_417415	2020-03-20	2020.215847
NODE_0000792	2019-12-31	2019.999725
EPI_ISL_415197	2020-03-12	2020.193989
EPI_ISL_417414	2020-03-20	2020.215847
EPI_ISL_419312	2020-03-26	2020.232240
NODE_0000031	2019-10-29	2019.826309
NODE_0000795	2019-12-27	2019.988347
EPI_ISL_525439	2020-01-01	2020.000000
EPI_ISL_525446	2020-01-27	2020.071038
NODE_0000033	2019-11-03	2019.840694
EPI_ISL_525441	2020-01-02	2020.002732
NODE_0000034	2019-11-10	2019.859820
EPI_ISL_525442	2020-01-09	2020.021858
NODE_0000035	2019-11-18	2019.881678
EPI_ISL_525444	2020-01-17	2020.043716
NODE_0000036	2019-12-08	2019.936322
EPI_ISL_410291	2020-02-06	2020.098361
NODE_0000040	2020-01-25	2020.065574
EPI_ISL_525447	2020-01-28	2020.073770
EPI_ISL_525445	2020-01-25	2020.065574
NODE_0000803	2019-09-21	2019.722121
EPI_ISL_419220	2020-01-09	2020.021858
EPI_ISL_419314	2020-03-27	2020.234973
NODE_0000806	2019-12-04	2019.924182
EPI_ISL_405813	2020-01-06	2020.013661
EPI_ISL_525440	2020-01-02	2020.002732
NODE_0000807	2019-11-24	2019.898317
EPI_ISL_525443	2020-01-12	2020.030055
EPI_ISL_525450	2020-02-20	2020.136612
NODE_0000809	2019-11-03	2019.839834
EPI_ISL_404993	2020-01-16	2020.040984
NODE_0000810	2020-01-18	2020.047448
NODE_0000048	2020-02-17	2020.128415
EPI_ISL_525463	2020-03-03	2020.169399
EPI_ISL_418266	2020-02-17	2020.128415
NODE_0000812	2020-02-20	2020.136612
EPI_ISL_525452	2020-02-21	2020.139344
EPI_ISL_525453	2020-02-22	2020.142077
EPI_ISL_525449	2020-02-20	2020.136612
EPI_ISL_525451	2020-02-21	2020.139344
EPI_ISL_525454	2020-02-22	2020.142077
NODE_0000050	2020-02-24	2020.147541
EPI_ISL_525455	2020-02-24	2020.147541
NODE_0000051	2020-02-26	2020.153005
EPI_ISL_525464	2020-02-26	2020.153005
NODE_0000052	2020-02-29	2020.161202
EPI_ISL_525465	2020-02-29	2020.161202
EPI_ISL_525462	2020-03-01	2020.163934
NODE_0000818	2020-05-29	2020.409091
EPI_ISL_681281	2020-11-16	2020.874317
EPI_ISL_4061712	2021-02-17	2021.128767
NODE_0000903	2020-08-11	2020.610128
EPI_ISL_1009681	2020-12-29	2020.991803
EPI_ISL_4061715	2021-01-28	2021.073973
NODE_0000907	2020-08-21	2020.638286
EPI_ISL_1009684	2020-12-30	2020.994536
EPI_ISL_14770166	2020-11-23	2020.893443
NODE_0000934	2020-08-01	2020.583127
EPI_ISL_985186	2020-12-09	2020.937158
NODE_0000935	2020-12-01	2020.915301
EPI_ISL_985180	2020-12-01	2020.915301
EPI_ISL_985193	2020-12-14	2020.950820
NODE_0000831	2020-10-29	2020.825749
NODE_0000832	2020-12-01	2020.915301
EPI_ISL_710442	2020-12-01	2020.915301
EPI_ISL_710445	2020-12-01	2020.915301
NODE_0000062	2020-12-01	2020.915301
EPI_ISL_710444	2020-12-01	2020.915301
EPI_ISL_710443	2020-12-01	2020.915301
NODE_0000930	2020-08-10	2020.608137
EPI_ISL_697771	2020-10-24	2020.811475
NODE_0000931	2020-10-07	2020.765212
EPI_ISL_4071019	2020-11-05	2020.844262
NODE_0000058	2020-10-24	2020.811475
EPI_ISL_682297	2020-11-09	2020.855191
EPI_ISL_666687	2020-10-24	2020.811475
NODE_0000846	2020-08-28	2020.656707
EPI_ISL_985189	2020-12-11	2020.942623
EPI_ISL_5260457	2021-01-23	2021.060274
NODE_0000847	2021-02-10	2021.109589
EPI_ISL_1041172	2021-02-10	2021.109589
EPI_ISL_1041173	2021-02-10	2021.109589
NODE_0000850	2021-02-02	2021.088854
EPI_ISL_1184510	2021-02-24	2021.147945
NODE_0000851	2021-02-24	2021.147945
EPI_ISL_1184508	2021-02-24	2021.147945
EPI_ISL_1184509	2021-02-24	2021.147945
EPI_ISL_1184511	2021-02-24	2021.147945
NODE_0000852	2020-08-18	2020.629944
EPI_ISL_1009706	2020-12-02	2020.918033
EPI_ISL_631824	2020-10-21	2020.803279
EPI_ISL_985185	2020-12-08	2020.934426
EPI_ISL_985209	2020-12-28	2020.989071
NODE_0000856	2020-11-11	2020.862648
EPI_ISL_985195	2020-12-16	2020.956284
EPI_ISL_985210	2020-12-28	2020.989071
NODE_0000074	2020-10-21	2020.805070
EPI_ISL_985198	2020-12-21	2020.969945
NODE_0000075	2020-10-23	2020.810844
EPI_ISL_985200	2020-12-22	2020.972678
NODE_0000078	2020-12-04	2020.923497
EPI_ISL_985181	2020-12-04	2020.923497
NODE_0000079	2020-12-06	2020.928962
EPI_ISL_985208	2020-12-27	2020.986339
EPI_ISL_985182	2020-12-06	2020.928962
NODE_0000819	2020-08-13	2020.615035
EPI_ISL_2820250	2020-10-15	2020.786885
EPI_ISL_2820503	2020-10-16	2020.789617
EPI_ISL_2820465	2020-10-16	2020.789617
NODE_0000081	2020-10-12	2020.780483
NODE_0000086	2020-10-15	2020.786885
EPI_ISL_2820259	2020-10-15	2020.786885
EPI_ISL_2815374	2020-10-15	2020.786885
NODE_0000087	2020-10-13	2020.782310
EPI_ISL_2820261	2020-10-15	2020.786885
NODE_0000088	2020-10-14	2020.785050
NODE_0000089	2020-10-15	2020.787791
EPI_ISL_2820504	2020-10-16	2020.789617
NODE_0000091	2020-10-16	2020.789617
EPI_ISL_2820262	2020-10-16	2020.789617
EPI_ISL_14819895	2020-10-16	2020.789617
NODE_0000092	2020-10-15	2020.787791
NODE_0000100	2020-10-16	2020.789617
EPI_ISL_2820479	2020-10-16	2020.789617
EPI_ISL_2820288	2020-10-16	2020.789617
NODE_0000101	2020-10-16	2020.789617
EPI_ISL_2820501	2020-10-16	2020.789617
EPI_ISL_2820480	2020-10-16	2020.789617
NODE_0000838	2020-08-04	2020.592367
NODE_0000843	2020-12-22	2020.972678
EPI_ISL_1063533	2020-12-22	2020.972678
EPI_ISL_4062112	2020-12-22	2020.972678
NODE_0000839	2020-12-18	2020.961749
EPI_ISL_738053	2020-12-18	2020.961749
EPI_ISL_738054	2020-12-18	2020.961749
EPI_ISL_738055	2020-12-18	2020.961749
EPI_ISL_738056	2020-12-18	2020.961749
NODE_0000844	2020-12-13	2020.948087
EPI_ISL_732939	2020-12-13	2020.948087
EPI_ISL_732940	2020-12-13	2020.948087
EPI_ISL_732941	2020-12-13	2020.948087
EPI_ISL_732942	2020-12-13	2020.948087
NODE_0000107	2020-12-12	2020.946261
NODE_0000109	2020-12-13	2020.948087
EPI_ISL_732936	2020-12-13	2020.948087
EPI_ISL_732935	2020-12-13	2020.948087
NODE_0000110	2020-12-13	2020.948087
EPI_ISL_732938	2020-12-13	2020.948087
EPI_ISL_732937	2020-12-13	2020.948087
NODE_0000866	2020-07-04	2020.505590
NODE_0000104	2020-09-24	2020.731404
EPI_ISL_1009697	2020-11-23	2020.893443
NODE_0000111	2020-10-02	2020.753262
NODE_0000869	2020-12-01	2020.915301
EPI_ISL_1009703	2020-12-01	2020.915301
EPI_ISL_1009704	2020-12-01	2020.915301
NODE_0000131	2020-11-24	2020.897986
EPI_ISL_1009699	2020-11-25	2020.898907
NODE_0000132	2020-11-25	2020.899812
EPI_ISL_985183	2020-12-07	2020.931694
NODE_0000134	2020-11-26	2020.901639
EPI_ISL_1009701	2020-11-26	2020.901639
EPI_ISL_1009700	2020-11-26	2020.901639
NODE_0000871	2020-08-16	2020.623673
EPI_ISL_4061713	2021-02-08	2021.104110
NODE_0000887	2020-11-13	2020.866701
EPI_ISL_738058	2020-12-18	2020.961749
NODE_0000138	2020-12-17	2020.959922
EPI_ISL_738060	2020-12-18	2020.961749
NODE_0000139	2020-12-18	2020.961749
EPI_ISL_738059	2020-12-18	2020.961749
EPI_ISL_738057	2020-12-18	2020.961749
NODE_0000873	2020-09-11	2020.694609
EPI_ISL_4061714	2021-02-03	2021.090411
EPI_ISL_985204	2020-12-23	2020.975410
NODE_0000875	2020-12-28	2020.989826
NODE_0000876	2021-02-15	2021.123288
EPI_ISL_1041177	2021-02-15	2021.123288
EPI_ISL_1041178	2021-02-15	2021.123288
NODE_0000877	2021-03-03	2021.167123
EPI_ISL_1240997	2021-03-03	2021.167123
EPI_ISL_1273441	2021-03-03	2021.167123
NODE_0000890	2020-10-21	2020.804699
NODE_0000150	2021-01-01	2021.000000
EPI_ISL_854602	2021-01-01	2021.000000
EPI_ISL_854599	2021-01-01	2021.000000
NODE_0000892	2020-11-22	2020.891468
EPI_ISL_854604	2021-01-01	2021.000000
EPI_ISL_854603	2021-01-01	2021.000000
NODE_0000894	2020-12-15	2020.954926
EPI_ISL_854600	2021-01-01	2021.000000
EPI_ISL_854601	2021-01-01	2021.000000
NODE_0000895	2021-02-01	2021.084932
EPI_ISL_978901	2021-02-01	2021.084932
EPI_ISL_1273414	2021-02-01	2021.084932
EPI_ISL_1273415	2021-02-01	2021.084932
