#node	date	numeric date
NODE_0000001	2005-04-18	2005.294384
NODE_0000543	2019-06-09	2019.437495
EPI_ISL_5115763	2021-03-02	2021.164384
NODE_0000544	2020-08-12	2020.614320
NODE_0000545	2020-10-03	2020.754544
EPI_ISL_1009706	2020-12-02	2020.918033
NODE_0000546	2020-11-11	2020.862758
EPI_ISL_985208	2020-12-27	2020.986339
NODE_0000547	2020-12-16	2020.956284
EPI_ISL_985195	2020-12-16	2020.956284
EPI_ISL_985210	2020-12-28	2020.989071
NODE_0000548	2020-09-26	2020.737391
EPI_ISL_985181	2020-12-04	2020.923497
NODE_0000549	2020-11-09	2020.857315
EPI_ISL_985185	2020-12-08	2020.934426
NODE_0000550	2020-11-22	2020.890955
EPI_ISL_985182	2020-12-06	2020.928962
EPI_ISL_985200	2020-12-22	2020.972678
EPI_ISL_985198	2020-12-21	2020.969945
EPI_ISL_985209	2020-12-28	2020.989071
NODE_0000541	2016-08-29	2016.659860
NODE_0000542	2021-03-26	2021.230941
EPI_ISL_11504587	2021-12-01	2021.915068
EPI_ISL_7381448	2021-07-01	2021.495890
NODE_0000540	2019-03-08	2019.182909
EPI_ISL_9594306	2020-04-01	2020.248634
NODE_0000539	2019-03-12	2019.194308
NODE_0000553	2019-11-19	2019.883054
EPI_ISL_525443	2020-01-12	2020.030055
NODE_0000576	2020-01-02	2020.002732
EPI_ISL_525440	2020-01-02	2020.002732
NODE_0000015	2020-01-06	2020.013661
EPI_ISL_405813	2020-01-06	2020.013661
NODE_0000016	2020-01-09	2020.021858
EPI_ISL_419220	2020-01-09	2020.021858
EPI_ISL_419314	2020-03-27	2020.234973
NODE_0000555	2019-12-05	2019.927037
EPI_ISL_405391	2020-01-17	2020.043716
EPI_ISL_525441	2020-01-02	2020.002732
NODE_0000562	2020-01-01	2020.000000
EPI_ISL_525439	2020-01-01	2020.000000
EPI_ISL_525446	2020-01-27	2020.071038
NODE_0000019	2020-01-08	2020.020398
EPI_ISL_417415	2020-03-20	2020.215847
NODE_0000020	2020-01-08	2020.021259
NODE_0000558	2020-02-22	2020.142136
EPI_ISL_415197	2020-03-12	2020.193989
NODE_0000022	2020-03-20	2020.215847
EPI_ISL_419312	2020-03-26	2020.232240
EPI_ISL_417414	2020-03-20	2020.215847
NODE_0000023	2020-01-09	2020.021858
EPI_ISL_525442	2020-01-09	2020.021858
NODE_0000024	2020-01-17	2020.043716
EPI_ISL_525444	2020-01-17	2020.043716
NODE_0000026	2020-01-25	2020.065574
EPI_ISL_525445	2020-01-25	2020.065574
NODE_0000027	2020-01-28	2020.073770
EPI_ISL_525447	2020-01-28	2020.073770
EPI_ISL_410291	2020-02-06	2020.098361
NODE_0000028	2019-12-08	2019.935297
NODE_0000579	2020-03-16	2020.205241
EPI_ISL_804043	2020-04-07	2020.265027
EPI_ISL_811134	2020-04-21	2020.303279
EPI_ISL_833580	2020-04-18	2020.295082
EPI_ISL_804045	2020-04-08	2020.267760
EPI_ISL_833487	2020-04-19	2020.297814
EPI_ISL_833485	2020-04-14	2020.284153
NODE_0000586	2020-04-18	2020.295587
EPI_ISL_813971	2020-05-05	2020.341530
NODE_0000030	2020-04-30	2020.327869
EPI_ISL_813972	2020-05-11	2020.357923
EPI_ISL_811144	2020-04-30	2020.327869
NODE_0000590	2020-04-14	2020.284153
EPI_ISL_811128	2020-04-14	2020.284153
NODE_0000032	2020-04-18	2020.295082
EPI_ISL_833582	2020-04-22	2020.306011
EPI_ISL_833488	2020-04-18	2020.295082
NODE_0000073	2020-03-25	2020.229508
EPI_ISL_780096	2020-03-25	2020.229508
NODE_0000077	2020-03-26	2020.232240
EPI_ISL_796011	2020-03-26	2020.232240
NODE_0000033	2020-04-08	2020.269893
EPI_ISL_846585	2020-05-13	2020.363388
NODE_0000035	2020-04-09	2020.270492
EPI_ISL_804047	2020-04-09	2020.270492
NODE_0000037	2020-04-10	2020.273224
EPI_ISL_833482	2020-04-10	2020.273224
NODE_0000038	2020-04-11	2020.275956
EPI_ISL_808250	2020-04-11	2020.275956
NODE_0000039	2020-04-13	2020.282693
EPI_ISL_833579	2020-04-14	2020.284153
NODE_0000040	2020-04-13	2020.283554
NODE_0000043	2020-04-14	2020.284153
EPI_ISL_810970	2020-04-14	2020.284153
EPI_ISL_810963	2020-04-14	2020.284153
NODE_0000044	2020-04-14	2020.284153
EPI_ISL_809658	2020-04-14	2020.284153
NODE_0000045	2020-04-16	2020.291751
EPI_ISL_846584	2020-04-17	2020.292350
NODE_0000046	2020-04-17	2020.292350
EPI_ISL_833581	2020-04-17	2020.292350
NODE_0000047	2020-04-22	2020.306011
EPI_ISL_833583	2020-04-22	2020.306011
NODE_0000049	2020-04-23	2020.308743
EPI_ISL_811135	2020-04-23	2020.308743
NODE_0000050	2020-04-29	2020.327270
EPI_ISL_846583	2020-04-30	2020.327869
NODE_0000051	2020-04-30	2020.327869
EPI_ISL_811146	2020-04-30	2020.327869
NODE_0000052	2020-05-04	2020.338798
EPI_ISL_846586	2020-06-05	2020.426230
EPI_ISL_813599	2020-05-04	2020.338798
NODE_0000103	2019-12-16	2019.957981
EPI_ISL_404993	2020-01-16	2020.040984
NODE_0000053	2020-01-21	2020.056475
NODE_0000054	2020-01-21	2020.056475
EPI_ISL_525453	2020-02-22	2020.142077
NODE_0000055	2020-01-28	2020.074202
EPI_ISL_525462	2020-03-01	2020.163934
NODE_0000057	2020-02-07	2020.101093
EPI_ISL_525448	2020-02-07	2020.101093
NODE_0000061	2020-02-17	2020.128415
EPI_ISL_418266	2020-02-17	2020.128415
NODE_0000062	2020-02-19	2020.136013
EPI_ISL_525450	2020-02-20	2020.136612
NODE_0000063	2020-02-20	2020.136612
EPI_ISL_525449	2020-02-20	2020.136612
NODE_0000065	2020-02-20	2020.138746
NODE_0000068	2020-02-21	2020.139344
EPI_ISL_525452	2020-02-21	2020.139344
EPI_ISL_525451	2020-02-21	2020.139344
NODE_0000069	2020-02-22	2020.142077
EPI_ISL_525454	2020-02-22	2020.142077
NODE_0000070	2020-02-24	2020.147541
EPI_ISL_525455	2020-02-24	2020.147541
NODE_0000071	2020-02-26	2020.153005
EPI_ISL_525464	2020-02-26	2020.153005
NODE_0000072	2020-02-29	2020.161202
EPI_ISL_525465	2020-02-29	2020.161202
EPI_ISL_525463	2020-03-03	2020.169399
NODE_0000592	2020-08-10	2020.607037
NODE_0000594	2020-09-09	2020.691081
EPI_ISL_666687	2020-10-24	2020.811475
EPI_ISL_697771	2020-10-24	2020.811475
NODE_0000596	2020-10-17	2020.795031
EPI_ISL_4071019	2020-11-05	2020.844262
EPI_ISL_682297	2020-11-09	2020.855191
NODE_0000597	2020-10-22	2020.806976
EPI_ISL_1009679	2020-12-28	2020.989071
NODE_0000598	2021-01-01	2021.000000
EPI_ISL_854599	2021-01-01	2021.000000
EPI_ISL_854600	2021-01-01	2021.000000
EPI_ISL_854601	2021-01-01	2021.000000
EPI_ISL_854602	2021-01-01	2021.000000
EPI_ISL_854603	2021-01-01	2021.000000
EPI_ISL_854604	2021-01-01	2021.000000
NODE_0000606	2020-12-23	2020.975410
EPI_ISL_759850	2020-12-23	2020.975410
EPI_ISL_759851	2020-12-23	2020.975410
EPI_ISL_759852	2020-12-23	2020.975410
EPI_ISL_759853	2020-12-23	2020.975410
NODE_0000083	2021-01-09	2021.024059
NODE_0000084	2021-01-10	2021.024658
EPI_ISL_854596	2021-01-10	2021.024658
EPI_ISL_854595	2021-01-10	2021.024658
NODE_0000085	2021-01-10	2021.024658
EPI_ISL_854598	2021-01-10	2021.024658
EPI_ISL_854597	2021-01-10	2021.024658
NODE_0000170	2020-11-15	2020.872017
NODE_0000600	2020-12-18	2020.961749
EPI_ISL_738057	2020-12-18	2020.961749
EPI_ISL_738058	2020-12-18	2020.961749
EPI_ISL_738059	2020-12-18	2020.961749
EPI_ISL_738060	2020-12-18	2020.961749
NODE_0000172	2020-11-20	2020.885678
NODE_0000613	2020-12-23	2020.975410
EPI_ISL_985204	2020-12-23	2020.975410
EPI_ISL_4061714	2021-02-03	2021.090411
NODE_0000616	2021-03-03	2021.167123
EPI_ISL_1240997	2021-03-03	2021.167123
EPI_ISL_1273441	2021-03-03	2021.167123
NODE_0000081	2021-02-15	2021.123288
EPI_ISL_1041178	2021-02-15	2021.123288
EPI_ISL_1041177	2021-02-15	2021.123288
NODE_0000086	2020-12-13	2020.949407
NODE_0000609	2021-01-15	2021.039140
EPI_ISL_978898	2021-02-01	2021.084932
NODE_0000088	2021-01-31	2021.083734
NODE_0000089	2021-02-01	2021.084932
EPI_ISL_978900	2021-02-01	2021.084932
EPI_ISL_978899	2021-02-01	2021.084932
NODE_0000093	2021-01-31	2021.084333
EPI_ISL_978901	2021-02-01	2021.084932
NODE_0000094	2021-02-01	2021.084932
EPI_ISL_1273415	2021-02-01	2021.084932
EPI_ISL_1273414	2021-02-01	2021.084932
NODE_0000095	2021-01-11	2021.028076
EPI_ISL_1041180	2021-02-13	2021.117808
NODE_0000097	2021-01-14	2021.036295
NODE_0000605	2021-02-16	2021.126027
EPI_ISL_1041176	2021-02-16	2021.126027
EPI_ISL_1241004	2021-02-16	2021.126027
NODE_0000100	2021-02-07	2021.103511
EPI_ISL_985233	2021-02-08	2021.104110
NODE_0000101	2021-02-08	2021.104110
EPI_ISL_985232	2021-02-08	2021.104110
EPI_ISL_4061713	2021-02-08	2021.104110
NODE_0000617	2020-09-02	2020.670567
EPI_ISL_985186	2020-12-09	2020.937158
NODE_0000621	2020-12-22	2020.972678
EPI_ISL_1063533	2020-12-22	2020.972678
EPI_ISL_4062112	2020-12-22	2020.972678
NODE_0000618	2020-11-27	2020.905494
EPI_ISL_732940	2020-12-13	2020.948087
NODE_0000106	2020-12-12	2020.947489
EPI_ISL_732942	2020-12-13	2020.948087
NODE_0000108	2020-12-13	2020.948087
EPI_ISL_732941	2020-12-13	2020.948087
EPI_ISL_732939	2020-12-13	2020.948087
NODE_0000675	2020-10-15	2020.786885
EPI_ISL_14819895	2020-10-16	2020.789617
EPI_ISL_2815374	2020-10-15	2020.786885
EPI_ISL_2820250	2020-10-15	2020.786885
EPI_ISL_2820259	2020-10-15	2020.786885
EPI_ISL_2820261	2020-10-15	2020.786885
EPI_ISL_2820262	2020-10-16	2020.789617
EPI_ISL_2820288	2020-10-16	2020.789617
EPI_ISL_2820465	2020-10-16	2020.789617
EPI_ISL_2820479	2020-10-16	2020.789617
EPI_ISL_2820480	2020-10-16	2020.789617
EPI_ISL_2820501	2020-10-16	2020.789617
EPI_ISL_2820503	2020-10-16	2020.789617
EPI_ISL_2820504	2020-10-16	2020.789617
NODE_0000680	2020-10-18	2020.796030
EPI_ISL_1273416	2020-11-04	2020.841530
NODE_0000686	2020-11-04	2020.841530
EPI_ISL_681286	2020-11-04	2020.841530
NODE_0000116	2020-11-11	2020.861928
EPI_ISL_681295	2020-11-12	2020.863388
NODE_0000117	2020-11-11	2020.862789
NODE_0000118	2020-11-12	2020.863388
EPI_ISL_1273425	2020-11-12	2020.863388
EPI_ISL_1273424	2020-11-12	2020.863388
NODE_0000119	2020-11-12	2020.863388
EPI_ISL_681294	2020-11-12	2020.863388
EPI_ISL_1273426	2020-11-12	2020.863388
NODE_0000687	2020-12-01	2020.915301
EPI_ISL_708711	2020-12-01	2020.915301
EPI_ISL_708712	2020-12-01	2020.915301
EPI_ISL_708713	2020-12-01	2020.915301
EPI_ISL_708714	2020-12-01	2020.915301
EPI_ISL_708715	2020-12-01	2020.915301
EPI_ISL_708716	2020-12-01	2020.915301
EPI_ISL_708717	2020-12-01	2020.915301
EPI_ISL_708718	2020-12-01	2020.915301
EPI_ISL_708719	2020-12-01	2020.915301
EPI_ISL_708720	2020-12-01	2020.915301
NODE_0000122	2020-11-03	2020.840333
NODE_0000125	2020-11-04	2020.841530
EPI_ISL_1273419	2020-11-04	2020.841530
EPI_ISL_1273418	2020-11-04	2020.841530
NODE_0000126	2020-11-03	2020.840931
EPI_ISL_681287	2020-11-04	2020.841530
NODE_0000129	2020-11-04	2020.841530
EPI_ISL_1273417	2020-11-04	2020.841530
NODE_0000131	2020-11-09	2020.856464
NODE_0000133	2020-11-10	2020.857923
EPI_ISL_681293	2020-11-10	2020.857923
EPI_ISL_681292	2020-11-10	2020.857923
NODE_0000134	2020-11-09	2020.857325
NODE_0000137	2020-11-10	2020.857923
EPI_ISL_681291	2020-11-10	2020.857923
EPI_ISL_1273423	2020-11-10	2020.857923
NODE_0000139	2020-11-10	2020.857923
EPI_ISL_1273422	2020-11-10	2020.857923
NODE_0000141	2020-11-18	2020.881915
NODE_0000142	2020-11-19	2020.882514
EPI_ISL_1273433	2020-11-19	2020.882514
EPI_ISL_1273432	2020-11-19	2020.882514
NODE_0000145	2020-11-19	2020.882514
EPI_ISL_681274	2020-11-19	2020.882514
EPI_ISL_681273	2020-11-19	2020.882514
NODE_0000681	2020-11-14	2020.868852
EPI_ISL_1273427	2020-11-14	2020.868852
EPI_ISL_1273428	2020-11-14	2020.868852
EPI_ISL_681296	2020-11-14	2020.868852
EPI_ISL_681297	2020-11-14	2020.868852
NODE_0000147	2020-11-18	2020.881054
NODE_0000148	2020-11-19	2020.882514
EPI_ISL_681272	2020-11-19	2020.882514
EPI_ISL_681271	2020-11-19	2020.882514
NODE_0000151	2020-11-18	2020.881915
NODE_0000152	2020-11-19	2020.882514
EPI_ISL_1273431	2020-11-19	2020.882514
EPI_ISL_1273430	2020-11-19	2020.882514
NODE_0000153	2020-11-19	2020.882514
EPI_ISL_1273429	2020-11-19	2020.882514
NODE_0000155	2020-11-19	2020.883786
NODE_0000156	2020-11-19	2020.884647
NODE_0000157	2020-11-20	2020.885246
EPI_ISL_1273435	2020-11-20	2020.885246
EPI_ISL_1273434	2020-11-20	2020.885246
NODE_0000158	2020-11-20	2020.885246
EPI_ISL_681275	2020-11-20	2020.885246
EPI_ISL_1273436	2020-11-20	2020.885246
NODE_0000159	2020-11-20	2020.885246
EPI_ISL_681276	2020-11-20	2020.885246
NODE_0000160	2020-11-30	2020.912980
NODE_0000162	2020-11-30	2020.914702
NODE_0000163	2020-12-01	2020.915301
EPI_ISL_708706	2020-12-01	2020.915301
EPI_ISL_708705	2020-12-01	2020.915301
NODE_0000164	2020-12-01	2020.915301
EPI_ISL_708708	2020-12-01	2020.915301
EPI_ISL_708707	2020-12-01	2020.915301
NODE_0000165	2020-11-30	2020.913841
NODE_0000166	2020-12-01	2020.915301
EPI_ISL_708710	2020-12-01	2020.915301
EPI_ISL_708709	2020-12-01	2020.915301
NODE_0000167	2020-11-30	2020.914702
NODE_0000168	2020-12-01	2020.915301
EPI_ISL_708702	2020-12-01	2020.915301
EPI_ISL_708701	2020-12-01	2020.915301
NODE_0000169	2020-12-01	2020.915301
EPI_ISL_708704	2020-12-01	2020.915301
EPI_ISL_708703	2020-12-01	2020.915301
NODE_0000630	2020-10-19	2020.798936
EPI_ISL_1009700	2020-11-26	2020.901639
EPI_ISL_1009697	2020-11-23	2020.893443
EPI_ISL_1009699	2020-11-25	2020.898907
NODE_0000635	2020-12-01	2020.915301
EPI_ISL_1009703	2020-12-01	2020.915301
EPI_ISL_1009704	2020-12-01	2020.915301
NODE_0000640	2020-12-01	2020.915301
EPI_ISL_710442	2020-12-01	2020.915301
EPI_ISL_710443	2020-12-01	2020.915301
EPI_ISL_710444	2020-12-01	2020.915301
EPI_ISL_710445	2020-12-01	2020.915301
NODE_0000646	2020-11-30	2020.912568
EPI_ISL_710438	2020-11-30	2020.912568
EPI_ISL_710439	2020-11-30	2020.912568
EPI_ISL_710440	2020-11-30	2020.912568
EPI_ISL_710441	2020-11-30	2020.912568
NODE_0000241	2020-11-07	2020.850159
EPI_ISL_985188	2020-12-10	2020.939891
NODE_0000305	2020-11-19	2020.882945
NODE_0000637	2020-12-22	2020.972678
EPI_ISL_759854	2020-12-22	2020.972678
EPI_ISL_759856	2020-12-22	2020.972678
EPI_ISL_759857	2020-12-22	2020.972678
NODE_0000175	2020-11-25	2020.900180
EPI_ISL_1009684	2020-12-30	2020.994536
NODE_0000177	2020-11-25	2020.901041
NODE_0000643	2021-01-12	2021.030137
EPI_ISL_854605	2021-01-12	2021.030137
EPI_ISL_854606	2021-01-12	2021.030137
EPI_ISL_854607	2021-01-12	2021.030137
EPI_ISL_854608	2021-01-12	2021.030137
NODE_0000179	2020-11-26	2020.901639
EPI_ISL_1009701	2020-11-26	2020.901639
NODE_0000180	2020-12-07	2020.931694
EPI_ISL_985183	2020-12-07	2020.931694
NODE_0000181	2020-12-11	2020.943896
EPI_ISL_759855	2020-12-22	2020.972678
NODE_0000183	2020-12-11	2020.944757
NODE_0000184	2020-12-12	2020.945355
EPI_ISL_732943	2020-12-12	2020.945355
EPI_ISL_732946	2020-12-12	2020.945355
NODE_0000186	2020-12-12	2020.945355
EPI_ISL_732945	2020-12-12	2020.945355
EPI_ISL_732944	2020-12-12	2020.945355
NODE_0000648	2020-10-31	2020.832122
EPI_ISL_718109	2020-12-07	2020.931694
NODE_0000649	2020-11-09	2020.855923
NODE_0000189	2020-12-01	2020.916836
NODE_0000190	2020-12-02	2020.918033
EPI_ISL_710448	2020-12-02	2020.918033
EPI_ISL_710447	2020-12-02	2020.918033
NODE_0000191	2020-12-01	2020.917434
EPI_ISL_710449	2020-12-02	2020.918033
NODE_0000192	2020-12-02	2020.918033
EPI_ISL_710446	2020-12-02	2020.918033
NODE_0000193	2020-12-06	2020.930234
NODE_0000194	2020-12-06	2020.931095
NODE_0000198	2020-12-07	2020.931694
EPI_ISL_718107	2020-12-07	2020.931694
EPI_ISL_718106	2020-12-07	2020.931694
NODE_0000199	2020-12-07	2020.931694
EPI_ISL_718110	2020-12-07	2020.931694
EPI_ISL_718108	2020-12-07	2020.931694
NODE_0000202	2020-12-07	2020.931694
EPI_ISL_718111	2020-12-07	2020.931694
NODE_0000205	2020-12-28	2020.991205
NODE_0000206	2020-12-29	2020.991803
EPI_ISL_854610	2020-12-29	2020.991803
EPI_ISL_854609	2020-12-29	2020.991803
NODE_0000207	2020-12-29	2020.991803
EPI_ISL_854612	2020-12-29	2020.991803
EPI_ISL_854611	2020-12-29	2020.991803
NODE_0000651	2020-11-16	2020.874613
EPI_ISL_985203	2020-12-23	2020.975410
EPI_ISL_985202	2020-12-23	2020.975410
EPI_ISL_1009681	2020-12-29	2020.991803
NODE_0000211	2020-12-14	2020.950820
EPI_ISL_985201	2020-12-22	2020.972678
EPI_ISL_985192	2020-12-14	2020.950820
NODE_0000658	2020-11-24	2020.896175
EPI_ISL_1273410	2020-11-24	2020.896175
EPI_ISL_1273411	2020-11-24	2020.896175
EPI_ISL_681282	2020-11-24	2020.896175
EPI_ISL_681283	2020-11-24	2020.896175
NODE_0000652	2021-01-22	2021.057534
EPI_ISL_978906	2021-01-22	2021.057534
EPI_ISL_978907	2021-01-22	2021.057534
EPI_ISL_978908	2021-01-22	2021.057534
EPI_ISL_978909	2021-01-22	2021.057534
NODE_0000214	2021-02-24	2021.147945
EPI_ISL_1184518	2021-02-24	2021.147945
EPI_ISL_1184517	2021-02-24	2021.147945
NODE_0000353	2020-10-06	2020.763383
NODE_0000673	2020-11-08	2020.853115
EPI_ISL_681285	2020-11-25	2020.898907
NODE_0000110	2020-11-24	2020.898309
EPI_ISL_681284	2020-11-25	2020.898907
NODE_0000111	2020-11-25	2020.898907
EPI_ISL_1273413	2020-11-25	2020.898907
EPI_ISL_1273412	2020-11-25	2020.898907
NODE_0000361	2020-10-06	2020.763383
EPI_ISL_681289	2020-11-07	2020.849727
NODE_0000388	2020-10-18	2020.797102
EPI_ISL_4061712	2021-02-17	2021.128767
NODE_0000395	2020-10-18	2020.797701
EPI_ISL_985179	2020-11-26	2020.901639
NODE_0000215	2020-10-19	2020.798562
NODE_0000678	2020-12-01	2020.915301
EPI_ISL_985180	2020-12-01	2020.915301
EPI_ISL_985193	2020-12-14	2020.950820
NODE_0000217	2020-10-19	2020.799161
EPI_ISL_1009705	2020-12-01	2020.915301
NODE_0000218	2020-10-19	2020.800022
NODE_0000624	2020-12-05	2020.926230
EPI_ISL_710450	2020-12-05	2020.926230
EPI_ISL_710451	2020-12-05	2020.926230
EPI_ISL_710452	2020-12-05	2020.926230
EPI_ISL_710453	2020-12-05	2020.926230
NODE_0000220	2020-10-20	2020.800884
NODE_0000669	2020-11-27	2020.904419
EPI_ISL_738050	2020-12-15	2020.953552
NODE_0000222	2020-12-12	2020.946890
NODE_0000224	2020-12-13	2020.948087
EPI_ISL_732929	2020-12-13	2020.948087
EPI_ISL_732928	2020-12-13	2020.948087
NODE_0000225	2020-12-12	2020.947489
EPI_ISL_732930	2020-12-13	2020.948087
NODE_0000226	2020-12-13	2020.948087
EPI_ISL_732927	2020-12-13	2020.948087
NODE_0000227	2020-12-14	2020.952953
EPI_ISL_738052	2020-12-15	2020.953552
NODE_0000228	2020-12-15	2020.953552
EPI_ISL_738051	2020-12-15	2020.953552
EPI_ISL_738049	2020-12-15	2020.953552
NODE_0000230	2020-10-20	2020.801483
EPI_ISL_985190	2020-12-11	2020.942623
NODE_0000231	2020-10-20	2020.802081
EPI_ISL_732931	2020-12-15	2020.953552
NODE_0000234	2020-10-20	2020.802680
EPI_ISL_732932	2020-12-15	2020.953552
NODE_0000235	2020-10-21	2020.803279
EPI_ISL_631824	2020-10-21	2020.803279
NODE_0000238	2020-11-02	2020.836739
NODE_0000626	2021-02-24	2021.147945
EPI_ISL_1184508	2021-02-24	2021.147945
EPI_ISL_1184509	2021-02-24	2021.147945
EPI_ISL_1184510	2021-02-24	2021.147945
EPI_ISL_1184511	2021-02-24	2021.147945
NODE_0000240	2020-11-02	2020.837601
NODE_0000667	2021-03-13	2021.194521
EPI_ISL_1273437	2021-03-13	2021.194521
EPI_ISL_1273438	2021-03-13	2021.194521
EPI_ISL_1273439	2021-03-13	2021.194521
EPI_ISL_1273440	2021-03-13	2021.194521
NODE_0000242	2020-11-02	2020.838199
EPI_ISL_4061715	2021-01-28	2021.073973
NODE_0000243	2020-11-03	2020.838798
EPI_ISL_1009695	2020-11-03	2020.838798
NODE_0000244	2020-11-06	2020.848530
NODE_0000247	2020-11-07	2020.849727
EPI_ISL_681288	2020-11-07	2020.849727
EPI_ISL_1273421	2020-11-07	2020.849727
NODE_0000248	2020-11-06	2020.849128
EPI_ISL_681290	2020-11-07	2020.849727
NODE_0000249	2020-11-07	2020.849727
EPI_ISL_1273420	2020-11-07	2020.849727
NODE_0000250	2020-11-10	2020.857923
EPI_ISL_1009696	2020-11-10	2020.857923
NODE_0000253	2020-11-16	2020.874317
