#node	date	numeric date
NODE_0000001	1836-08-30	1836.661335
NODE_0000392	1886-11-20	1886.885527
EPI_ISL_9594306	--	--
NODE_0000393	2003-11-26	2003.903746
NODE_0000394	2007-11-17	2007.878237
NODE_0000395	2010-01-09	2010.024184
EPI_ISL_419314	2020-03-27	2020.234973
NODE_0000396	2015-09-13	2015.698907
EPI_ISL_419220	2020-01-09	2020.021858
NODE_0000403	2017-07-01	2017.497603
EPI_ISL_525443	2020-01-12	2020.030055
EPI_ISL_525450	2020-02-20	2020.136612
NODE_0000407	2018-02-27	2018.156941
EPI_ISL_525448	2020-02-07	2020.101093
EPI_ISL_525465	2020-02-29	2020.161202
NODE_0000021	2018-05-15	2018.369114
EPI_ISL_404993	2020-01-16	2020.040984
NODE_0000022	2018-06-16	2018.455603
EPI_ISL_418266	2020-02-17	2020.128415
NODE_0000008	2018-07-02	2018.501021
EPI_ISL_525463	2020-03-03	2020.169399
NODE_0000010	2019-12-11	2019.943659
EPI_ISL_525440	2020-01-02	2020.002732
NODE_0000011	2019-12-22	2019.974100
EPI_ISL_405813	2020-01-06	2020.013661
NODE_0000012	2020-01-02	2020.004542
EPI_ISL_525449	2020-02-20	2020.136612
NODE_0000014	2020-01-18	2020.048332
NODE_0000015	2020-02-21	2020.139344
EPI_ISL_525452	2020-02-21	2020.139344
EPI_ISL_525451	2020-02-21	2020.139344
NODE_0000016	2020-02-03	2020.092122
NODE_0000017	2020-02-22	2020.142077
EPI_ISL_525453	2020-02-22	2020.142077
EPI_ISL_525454	2020-02-22	2020.142077
NODE_0000018	2020-02-14	2020.122564
EPI_ISL_525455	2020-02-24	2020.147541
NODE_0000019	2020-02-26	2020.153005
EPI_ISL_525462	2020-03-01	2020.163934
EPI_ISL_525464	2020-02-26	2020.153005
NODE_0000409	2010-05-14	2010.365888
NODE_0000410	2014-06-04	2014.423646
EPI_ISL_405391	2020-01-17	2020.043716
EPI_ISL_525441	2020-01-02	2020.002732
EPI_ISL_417415	2020-03-20	2020.215847
EPI_ISL_525447	2020-01-28	2020.073770
NODE_0000411	2017-03-03	2017.169665
EPI_ISL_415197	2020-03-12	2020.193989
NODE_0000412	2018-08-23	2018.643814
EPI_ISL_417414	2020-03-20	2020.215847
EPI_ISL_419312	2020-03-26	2020.232240
NODE_0000024	2018-04-30	2018.326608
NODE_0000418	2020-01-01	2020.000000
EPI_ISL_525439	2020-01-01	2020.000000
EPI_ISL_525446	2020-01-27	2020.071038
NODE_0000026	2018-05-24	2018.392285
EPI_ISL_525445	2020-01-25	2020.065574
NODE_0000029	2020-01-05	2020.013274
EPI_ISL_525442	2020-01-09	2020.021858
NODE_0000030	2020-01-17	2020.043716
EPI_ISL_410291	2020-02-06	2020.098361
EPI_ISL_525444	2020-01-17	2020.043716
NODE_0000422	2015-11-03	2015.840433
EPI_ISL_804043	2020-04-07	2020.265027
NODE_0000423	2016-10-03	2016.755115
EPI_ISL_810970	2020-04-14	2020.284153
EPI_ISL_804047	2020-04-09	2020.270492
EPI_ISL_811144	2020-04-30	2020.327869
EPI_ISL_833487	2020-04-19	2020.297814
EPI_ISL_811146	2020-04-30	2020.327869
EPI_ISL_780096	2020-03-25	2020.229508
EPI_ISL_813972	2020-05-11	2020.357923
NODE_0000440	2018-01-19	2018.050290
EPI_ISL_846585	2020-05-13	2020.363388
EPI_ISL_811134	2020-04-21	2020.303279
EPI_ISL_833482	2020-04-10	2020.273224
EPI_ISL_833581	2020-04-17	2020.292350
EPI_ISL_804045	2020-04-08	2020.267760
EPI_ISL_833485	2020-04-14	2020.284153
EPI_ISL_846584	2020-04-17	2020.292350
NODE_0000055	2017-10-20	2017.800215
NODE_0000439	2019-06-22	2019.473269
EPI_ISL_833579	2020-04-14	2020.284153
EPI_ISL_846583	2020-04-30	2020.327869
NODE_0000058	2018-07-17	2018.540049
EPI_ISL_811128	2020-04-14	2020.284153
NODE_0000059	2018-07-28	2018.570496
EPI_ISL_810963	2020-04-14	2020.284153
NODE_0000061	2018-08-08	2018.600944
EPI_ISL_833488	2020-04-18	2020.295082
NODE_0000035	2018-08-20	2018.633081
EPI_ISL_833583	2020-04-22	2020.306011
NODE_0000036	2018-08-21	2018.635703
EPI_ISL_811135	2020-04-23	2020.308743
NODE_0000037	2018-10-02	2018.753189
EPI_ISL_846586	2020-06-05	2020.426230
NODE_0000041	2020-03-08	2020.184244
EPI_ISL_796011	2020-03-26	2020.232240
NODE_0000046	2020-03-19	2020.214686
EPI_ISL_808250	2020-04-11	2020.275956
NODE_0000047	2020-03-30	2020.245127
EPI_ISL_809658	2020-04-14	2020.284153
NODE_0000048	2020-04-10	2020.275569
EPI_ISL_833580	2020-04-18	2020.295082
NODE_0000050	2020-04-22	2020.306011
EPI_ISL_833582	2020-04-22	2020.306011
NODE_0000054	2020-05-04	2020.338798
EPI_ISL_813971	2020-05-05	2020.341530
EPI_ISL_813599	2020-05-04	2020.338798
NODE_0000446	2011-11-10	2011.859344
EPI_ISL_1009696	2020-11-10	2020.857923
NODE_0000447	2012-12-10	2012.942562
EPI_ISL_697771	2020-10-24	2020.811475
EPI_ISL_4071019	2020-11-05	2020.844262
NODE_0000461	2014-07-15	2014.536273
EPI_ISL_1009705	2020-12-01	2020.915301
EPI_ISL_4061712	2021-02-17	2021.128767
NODE_0000463	2015-10-13	2015.781495
EPI_ISL_1009679	2020-12-28	2020.989071
NODE_0000483	2021-02-16	2021.126027
EPI_ISL_1041176	2021-02-16	2021.126027
EPI_ISL_1241004	2021-02-16	2021.126027
NODE_0000060	2017-10-11	2017.776827
NODE_0000480	2021-02-15	2021.123288
EPI_ISL_1041177	2021-02-15	2021.123288
EPI_ISL_1041178	2021-02-15	2021.123288
NODE_0000064	2019-04-21	2019.302750
EPI_ISL_985204	2020-12-23	2020.975410
NODE_0000065	2019-06-02	2019.417648
EPI_ISL_4061714	2021-02-03	2021.090411
NODE_0000067	2021-03-03	2021.167123
EPI_ISL_1273441	2021-03-03	2021.167123
EPI_ISL_1240997	2021-03-03	2021.167123
NODE_0000464	2017-12-12	2017.946896
EPI_ISL_1041180	2021-02-13	2021.117808
EPI_ISL_4061713	2021-02-08	2021.104110
NODE_0000466	2021-02-08	2021.104110
EPI_ISL_985232	2021-02-08	2021.104110
EPI_ISL_985233	2021-02-08	2021.104110
NODE_0000468	2020-12-18	2020.961749
EPI_ISL_738057	2020-12-18	2020.961749
EPI_ISL_738058	2020-12-18	2020.961749
EPI_ISL_738059	2020-12-18	2020.961749
EPI_ISL_738060	2020-12-18	2020.961749
NODE_0000484	2019-02-26	2019.155834
EPI_ISL_759850	2020-12-23	2020.975410
EPI_ISL_759852	2020-12-23	2020.975410
NODE_0000072	2020-12-23	2020.975410
EPI_ISL_759853	2020-12-23	2020.975410
EPI_ISL_759851	2020-12-23	2020.975410
