Name,Date,Region,Strain
EPI_ISL_10261376,2022.0630136986301,Europe,A/pigeon/Germany-NW/AI00951/2022 H5N1
EPI_ISL_10347218,2021.9917808219177,Europe,A/Barnacle_Goose/Netherlands/6/2021 H5N1
EPI_ISL_10347219,2022.0739726027398,Europe,A/Barnacle_Goose/Netherlands/8/2022 H5N1
EPI_ISL_10347220,2021.9917808219177,Europe,A/Barnacle_Goose/Netherlands/7/2021 H5N1
EPI_ISL_10347326,2021.9890410958903,Europe,A/long-eared_owl/Germany-NI/AI09037/2021 H5N1
EPI_ISL_1048240,2021.021917808219,Europe,A/common_buzzard/Netherlands/21021396-002/2021 H5N1
EPI_ISL_1048241,2021.035616438356,Europe,A/barnacle_goose/Netherlands/21021591-001/2021 H5N1
EPI_ISL_10497305,2022.0657534246575,Europe,A/red_knot/Germany-SH/AI01010/2022 H5N1
EPI_ISL_10497306,2022.1123287671232,Europe,A/buzzard/Germany-BB/AI01212/2022 H5N1
EPI_ISL_10576444,2022.0602739726028,Europe,A/Anser_anser/Belgium/1809_0002/2022 H5N1
EPI_ISL_10724259,2022.0849315068492,Europe,A/seagull/Netherlands/22002274-002/2022 H5N1
EPI_ISL_10943657,2022.0657534246575,Europe,A/northern_goshawk/Sweden/SVA220210SZ0305/FP000317/O-2022 H5N1
EPI_ISL_10992813,2022.1150684931506,Europe,A/Mallard/Netherlands/1/2022 H5N1
EPI_ISL_10993074,2022.1205479452055,Europe,A/Mallard/Netherlands/2/2022 H5N1
EPI_ISL_10993075,2021.9095890410958,Europe,A/Mallard/Netherlands/4/2021 H5N1
EPI_ISL_10993076,2021.9095890410958,Europe,A/Mallard/Netherlands/5/2021 H5N1
EPI_ISL_10993105,2021.9095890410958,Europe,A/Mallard/Netherlands/6/2021 H5N1
EPI_ISL_10993134,2021.9095890410958,Europe,A/Mallard/Netherlands/7/2021 H5N1
EPI_ISL_10993166,2021.9095890410958,Europe,A/Mallard/Netherlands/8/2021 H5N1
EPI_ISL_10993196,2022.0767123287671,Europe,A/Sanderling/Netherlands/1/2022 H5N1
EPI_ISL_11007527,2022.0054794520547,Europe,A/laying_hen/Moldova/68-1_22VIR638-1/2022 H5N1
EPI_ISL_11007528,2021.9835616438356,Europe,A/rooster/Slovenia/2039_22VIR777-1/2021 H5N1
EPI_ISL_11007529,2021.9835616438356,Europe,A/swan/Slovenia/2041_22VIR777-2/2021 H5N1
EPI_ISL_11007530,2021.986301369863,Europe,A/swan/Slovenia/2049_22VIR777-3/2021 H5N1
EPI_ISL_11007531,2021.9917808219177,Europe,A/swan/Slovenia/2060_22VIR777-4/2021 H5N1
EPI_ISL_11007532,2021.9945205479453,Europe,A/swan/Slovenia/2072_22VIR777-5/2021 H5N1
EPI_ISL_11007533,2021.9945205479453,Europe,A/swan/Slovenia/2073_22VIR777-6/2021 H5N1
EPI_ISL_11007534,2021.9945205479453,Europe,A/seagull/Slovenia/2075_22VIR777-7/2021 H5N1
EPI_ISL_11007535,2022.0054794520547,Europe,A/swan/Slovenia/13_22VIR777-8/2022 H5N1
EPI_ISL_11007537,2021.9917808219177,Europe,A/hen/Bulgaria/854-1_22VIR778-10/2021 H5N1
EPI_ISL_11007538,2021.8712328767124,Europe,A/hen/Bulgaria/722-1_22VIR778-1/2021 H5N1
EPI_ISL_11007539,2021.9123287671232,Europe,A/turkey/Bulgaria/755-1_22VIR778-4/2021 H5N1
EPI_ISL_11007540,2021.9150684931508,Europe,A/duck/Bulgaria/756-4_22VIR778-6/2021 H5N1
EPI_ISL_11007541,2021.9178082191781,Europe,A/hen/Bulgaria/757-6_22VIR778-7/2021 H5N1
EPI_ISL_11007542,2022.0,Africa,A/chicken/Niger/22VIR1409-13/2022 H5N1
EPI_ISL_11007543,2022.0,Africa,A/chicken/Niger/22VIR1409-23/2022 H5N1
EPI_ISL_11007544,2022.0,Africa,A/quail/Niger/22VIR1409-28/2022 H5N1
EPI_ISL_11007545,2022.0,Africa,A/quail/Niger/22VIR1409-30/2022 H5N1
