Host	host	host2
Accipiter gentilis	northern goshawk	Other
Aix galericulata	Mandarin duck	Waterfowl
Aix galericulata	mandarin duck	Waterfowl
Anas acuta	pintail	Waterfowl
Anas clypeata	northern shoveler	Waterfowl
Anas crecca	common teal	Waterfowl
Anas crecca	Eurasian-teal	Waterfowl
Anas crecca	Teal	Waterfowl
Anas crecca	teal	Waterfowl
Anas penelope	Eur_Wig	Waterfowl
Anas penelope	Eurasian Wigeon	Waterfowl
Anas penelope	eurasian wigeon	Waterfowl
Anas platyrhynchos	Anas Platyrhynchos	Waterfowl
Anas platyrhynchos	Anas platyrhynchos	Waterfowl
Anas platyrhynchos	duck	Waterfowl
Anas platyrhynchos	Mal	Waterfowl
Anas platyrhynchos	Mallard	Waterfowl
Anas platyrhynchos	mallard	Waterfowl
Anas platyrhynchos	mallard duck	Waterfowl
Anas platyrhynchos	Pekin duck	Waterfowl
Anas platyrhynchos f. domestica	duck	Dom-ans
Anas platyrhynchos var. domesticus	Anas_platyrhynchos domestica	Dom-ans
Anas poecilorhyncha	spot-billed duck	Waterfowl
Anas querquedula	garganey	Waterfowl
Anas sp.	duck	Waterfowl
Anas sp.	Mulard_duck	Waterfowl
Anas sp.	teal	Waterfowl
Anas sp.	wild duck	Waterfowl
Anas strepera	gadwall	Waterfowl
Anser albifrons	White_fronted_goose	Waterfowl
Anser albifrons	White-fronted Goose	Waterfowl
Anser anser	goose	Waterfowl
Anser anser	Grey_Go	Waterfowl
Anser anser	greylag goose	Waterfowl
Anser anser	Greylag_goose	Waterfowl
Anser anser domesticus	goose	Dom-ans
Anser brachyrhynchus	Anser_brachyrhynchus	Waterfowl
Anser brachyrhynchus	pink-footed goose	Waterfowl
Anser fabalis	Bean Goose	Waterfowl
Anser indicus	Bar-headed Goose	Waterfowl
Anseriformes sp.	Aalopochen_Aegyptiaca	Waterfowl
Avian	Anseriformes	Waterfowl
Avian	buzzard	Other
Avian	Chicken	Dom-gal
Avian	chicken	Dom-gal
Avian	Common Buzzard	Other
Avian	Cormorant	Seabird
Avian	cormorant	Seabird
Avian	crow	Other
Avian	duck	Dom-ans
Avian	Duck	Dom-ans
Avian	Eurasian Wigeon	Waterfowl
Avian	gadwall	Waterfowl
Avian	Goose	Waterfowl
Avian	goose	Waterfowl
Avian	great crested grebe	Waterfowl
Avian	green-winged teal	Waterfowl
Avian	grey heron	Waterfowl
Avian	Greylag Goose	Waterfowl
Avian	GuineaFowl	Dom-gal
Avian	Herring Gull	Seabird
Avian	Jungle crow	Other
Avian	long-eared owl	Other
Avian	Mallard	Waterfowl
Avian	mallard	Waterfowl
Avian	mandarin duck	Waterfowl
Avian	Mute Swan	Waterfowl
Avian	Mute swan	Waterfowl
Avian	mute swan	Waterfowl
Avian	Northern Goshawk	Other
Avian	northern goshawk	Other
Avian	owl	Other
Avian	Pheasant	Wild-gal
Avian	quail	Wild-gal
Avian	spot-billed duck	Waterfowl
Avian	tawny owl	Other
Avian	teal	Waterfowl
Avian	tufted duck	Waterfowl
Avian	Turkey	Dom-gal
Avian	Ural owl	Other
Avian	White peacock	Other
Avian	white stork	Waterfowl
Avian	white_stork	Waterfowl
Avian	wild bird	Waterfowl
Avian	wild duck	Waterfowl
Aythya ferina	common pochard	Waterfowl
Aythya ferina	pochard	Waterfowl
Aythya fuligula	T_Dk	Waterfowl
Aythya fuligula	Tufted Duck	Waterfowl
Aythya fuligula	tufted duck	Waterfowl
Aythya fuligula	tufted_duck	Waterfowl
Bean goose	bean goose	Waterfowl
Bean goose	Taiga bean goose	Waterfowl
Black-headed gull	black-headed gull	Seabird
Branta bernicla	brant goose	Waterfowl
Branta bernicla	brent_goose	Waterfowl
Branta canadensis	Branta_canadensis	Waterfowl
Branta canadensis	Canada goose	Waterfowl
Branta canadensis	Canada Goose	Waterfowl
Branta canadensis	Canada_goose	Waterfowl
Branta canadensis	Canade goose	Waterfowl
