Isolate_Id	HA	MP	NA	NP	NS	PA	PB1	PB2	Isolate_Name	Subtype	Location	Host	Domestic_Status	Collection_Date	Submission_Date	Submitting_Lab	Authors	subtype	date	host	region	country	province	city	wave
EPI_ISL_386922	EPI1574305	EPI1574308	EPI1574307	EPI1574306	EPI1574309	EPI1574304	EPI1574303	EPI1574302	A/Luscinia cyane/Jiangxi/U2/2016 （H5N6）	A / H5N6	Asia / China / Jiangxi Province	Wild bird		2016-10-01	2019-08-27	Tsinghua University		H5N6	2016-10-01	Luscinia cyane	Asia	China	Jiangxi Province		16/17 Wave
EPI_ISL_256301	EPI961478	EPI961482	EPI961480	EPI961479	EPI961483	EPI961476	EPI961474	EPI961473	A/environment/Kamchatka/18/2016	A / H5N5	Europe / Russian Federation / Kamchatka Krai	Larus schistisagus	Wild	2016-10-01	2017-03-21	State Research Center of Virology and Biotechnology (VECTOR)	Ivan,Susloparov; Natalya,Goncharova; Natalya,Kolosova; Vasiliy,Marchenko; Alexander,Ryzhikov	other	2016-10-01	environment	Europe	Russian Federation	Kamchatka Krai		16/17 Wave
EPI_ISL_247724	EPI909452	EPI909455	EPI909454	EPI909453	EPI909456	EPI909451	EPI909450	EPI909449	A/wild duck/Tatarstan/3059/2016	A / H5N8	Europe / Russian Federation / Republic of Tatarstan	Duck	Wild	2016-10-02	2017-02-12	State Research Center of Virology and Biotechnology (VECTOR)	Ivan,Susloparov; Natalya,Goncharova; Natalya,Kolosova; Vasiliy,Marchenko; Alexander,Ryzhikov	H5N8	2016-10-02	wild duck	Europe	Russian Federation	Republic of Tatarstan		16/17 Wave
EPI_ISL_240677	EPI926613	EPI926616	EPI926615	EPI926614	EPI926617	EPI926612	EPI926611	EPI926610	A/domestic duck/Siberia/103/2016	A / H5N8	Europe / Russian Federation / Novosibirsk Oblast	Duck	Domestic	2016-10-04	2017-01-08	Research Institute of Experimental and Clinical Medicine	Sharshov, K.A.; Kurskaya, O.G.; Alexeev, A.Y.; Sobolev, I.A.; Alikina, T.Y.; Kabilov, M.R.; Shestopalov, A.M.	H5N8	2016-10-04	domestic duck	Europe	Russian Federation	Novosibirsk Oblast		16/17 Wave
EPI_ISL_237553	EPI858836	EPI858840	EPI858838	EPI858837	EPI858839	EPI858835	EPI858834	EPI858833	A/duck/India/10CA01/2016	A / H5N8	Asia / India / National Capital Territory of Delhi	Duck	Wild	2016-10-17	2016-11-10	ICAR-National Institute of High Security Animal Diseases	Nagarajan, Shanmugasundaram; Tripathi, Sushil; Kumar, Manoj; Murugkar, Harshad V; Tosh, Chakradhar; Singh, Vijendra Pal	H5N8	2016-10-17	duck	Asia	India	National Capital Territory of Delhi		16/17 Wave
EPI_ISL_237730	EPI859199	EPI859202	EPI859201	EPI859200	EPI859203	EPI859198	EPI859197	EPI859196	A/mute_swan/Hungary/51049/2016	A / H5N8	Europe / Hungary / Csongrad megye	Cygnus olor	Wild	2016-10-19	2016-11-12	Danam.Vet.Molbiol	Zsuzsanna, Ronai; Krisztina, Ursu; Adam, Balint; Dora, Szalay; Akos, Thuma; Eva, Gyuris; Karoly, Erdelyi; Adam, Dan	H5N8	2016-10-19	mute_swan	Europe	Hungary	Csongrad megye		16/17 Wave
EPI_ISL_237554	EPI858844	EPI858847	EPI858846	EPI858845	EPI858848	EPI858843	EPI858842	EPI858841	A/painted stork/India/10CA03/2016	A / H5N8	Asia / India / Madhya Pradesh / Gwalior	Other avian	Wild	2016-10-20	2016-11-10	ICAR-National Institute of High Security Animal Diseases	'Nagarajan, Shanmugasundaram; Shukla, Shweta; Kumar, Manoj; Murugkar, H. V.; Tosh, Chakradhar; Singh, Vijendra Pal	H5N8	2016-10-20	painted stork	Asia	India	Madhya Pradesh	Gwalior	16/17 Wave
EPI_ISL_238196	EPI861568	EPI861570	EPI861569	EPI865159	EPI861571	EPI867456	EPI869084	EPI867457	A/mute swan/Croatia/70/2016	A / H5N8	Europe / Croatia / Vukovarsko-Srijemska Zupanija / Cerna, river Bid	Cygnus olor	Wild	2016-10-30	2016-11-24	Croatian Veterinary Institute	Savić, Vladimir	H5N8	2016-10-30	mute swan	Europe	Croatia	Vukovarsko-Srijemska Zupanija	Cerna, river Bid	16/17 Wave
EPI_ISL_239436	EPI867108	EPI867109	EPI867110	EPI867106	EPI867111	EPI867112	EPI867113	EPI867107	A/tufted_duck/Switzerland/V237-L02003/2016	A / H5N8	Europe / Switzerland / Bielersee	Aythya fuligula	Wild	2016-11	2016-12-15	Friedrich-Loeffler-Institut		H5N8	2016-11-01	tufted_duck	Europe	Switzerland	Bielersee		16/17 Wave
EPI_ISL_239435	EPI867100	EPI867101	EPI867102	EPI867098	EPI867103	EPI867104	EPI867105	EPI867099	A/tufted_duck/Switzerland/V254-L02002/2016	A / H5N8	Europe / Switzerland / Lake Constance	Aythya fuligula	Wild	2016-11	2016-12-15	Friedrich-Loeffler-Institut		H5N8	2016-11-01	tufted_duck	Europe	Switzerland	Lake Constance		16/17 Wave
