Isolate_Id	Isolate_Name	Subtype	Host	Location	Collection_Date	Domestic_Status
EPI_ISL_503968	A/chicken/Bulgaria/217_20VIR1724-1/2020	A / H5N8	Chicken	Europe / Bulgaria	2020-03-09	
EPI_ISL_623074	A/chicken/Iraq/1/2020	A / H5N8	Chicken	Asia / Iraq / Muhafazat Ninawa	2020-05-12	Domestic
EPI_ISL_637098	A/duck/Chelyabinsk/1207-1/2020	A / H5N8	Duck	Europe / Russian Federation / Chelyabinsk Oblast	2020-07-31	Domestic
EPI_ISL_644122	A/goose/Omsk/0002/2020	A / H5N8	Anser anser domesticus	Europe / Russian Federation / Omsk Oblast / Omsk region	2020-08-13	Domestic
EPI_ISL_644124	A/duck/Omsk/0004/2020	A / H5N8	Anas platyrhynchos f. domestica	Europe / Russian Federation / Omsk Oblast / Omsk	2020-08-13	Domestic
EPI_ISL_644123	A/turkey/Omsk/0003/2020	A / H5N8	Meleagris gallopavo	Europe / Russian Federation / Omsk Oblast / Omsk	2020-08-13	Domestic
EPI_ISL_644134	A/chicken/Omsk/0118/2020	A / H5N8	Gallus gallus domesticus	Europe / Russian Federation / Omsk Oblast / Omsk	2020-08-17	Domestic
EPI_ISL_644135	A/chicken/Omsk/0119/2020	A / H5N8	Gallus gallus domesticus	Europe / Russian Federation / Omsk Oblast / Omsk	2020-08-17	Domestic
EPI_ISL_644140	A/chicken/Omsk/0073/2020	A / H5N8	Gallus gallus domesticus	Europe / Russian Federation / Omsk Oblast / Omsk	2020-08-17	Domestic
EPI_ISL_626651	A/goose/Russian_Federation/Kurgan/1345-25/2020 	A / H5N8	Goose	Europe / Russian Federation / Kurgan Oblast	2020-08-20	
EPI_ISL_654835	A/chicken/Kurgan/1003/2020	A / H5N8	Gallus gallus domesticus	Europe / Russian Federation / Kurgan region	2020-08-27	Domestic
EPI_ISL_739685	A/goose/Russia_Omsk region/55-1/2020	A / H5N8	Goose	Europe / Russian Federation / Omsk region	2020-08-29	
EPI_ISL_654830	A/chicken/Omsk/30007/2020	A / H5N8	Gallus gallus domesticus	Europe / Russian Federation / Omsk Oblast / Omsk	2020-09-03	Domestic
EPI_ISL_654827	A/goose/Omsk/30003/2020	A / H5N8	Anser anser domesticus	Europe / Russian Federation / Omsk Oblast / Omsk	2020-09-03	Domestic
EPI_ISL_661178	A/swan/Tumen/1479-2/2020	A / H5N8	Swan	Europe / Russian Federation / Tyumen Oblast	2020-09-10	Wild
EPI_ISL_739684	A/goose/Russia_Novosibirsk region/1-12/2020	A / H5N8	Goose	Europe / Russian Federation / Novosibirsk region	2020-09-15	
EPI_ISL_654821	A/chicken/Saratov/29801/2020	A / H5N8	Gallus gallus domesticus	Europe / Russian Federation / Saratov Oblast / Saratov	2020-09-15	Domestic
EPI_ISL_654824	A/duck/Saratov/29804/2020	A / H5N8	Anas platyrhynchos f. domestica	Europe / Russian Federation / Saratov Oblast / Saratov	2020-09-15	Domestic
EPI_ISL_739686	A/chicken/Kazakhstan/Kn-3/2020	A / H5N8	Chicken	Asia / Kazakhstan / North Kazakhstan	2020-09-18	
EPI_ISL_739687	A/chicken/Kazakhstan/Kn-6/2020	A / H5N8	Chicken	Asia / Kazakhstan / North Kazakhstan	2020-09-18	
