#node	date	numeric date
NODE_0000001	2014-03-25	2014.227718
NODE_0000817	2015-04-29	2015.325713
NODE_0000818	2019-09-07	2019.684259
EPI_ISL_603233	2020-06-03	2020.420765
EPI_ISL_603235	2020-02-21	2020.139344
NODE_0000819	2015-11-28	2015.908201
NODE_0000820	--	--
EPI_ISL_5095644	--	--
EPI_ISL_5115763	--	--
NODE_0000821	2017-09-22	2017.725228
EPI_ISL_9594306	--	--
NODE_0000822	2019-10-25	2019.815997
NODE_0000823	2019-11-11	2019.862545
NODE_0000824	2019-11-26	2019.903186
EPI_ISL_525444	2020-01-17	2020.043716
EPI_ISL_405391	2020-01-17	2020.043716
EPI_ISL_525441	2020-01-02	2020.002732
EPI_ISL_525447	2020-01-28	2020.073770
NODE_0000834	2020-01-06	2020.013997
EPI_ISL_525445	2020-01-25	2020.065574
EPI_ISL_410291	2020-02-06	2020.098361
EPI_ISL_525442	2020-01-09	2020.021858
NODE_0000012	2019-12-07	2019.933698
EPI_ISL_525446	2020-01-27	2020.071038
NODE_0000014	2019-12-07	2019.933698
EPI_ISL_419312	2020-03-26	2020.232240
NODE_0000016	2019-12-17	2019.959643
EPI_ISL_417415	2020-03-20	2020.215847
NODE_0000010	2020-01-01	2020.000000
EPI_ISL_525439	2020-01-01	2020.000000
NODE_0000011	2020-02-17	2020.130001
EPI_ISL_415197	2020-03-12	2020.193989
EPI_ISL_417414	2020-03-20	2020.215847
NODE_0000837	2019-11-27	2019.906358
EPI_ISL_525450	2020-02-20	2020.136612
NODE_0000013	2020-01-12	2020.030055
EPI_ISL_525448	2020-02-07	2020.101093
EPI_ISL_525443	2020-01-12	2020.030055
NODE_0000841	2019-12-10	2019.939847
EPI_ISL_419314	2020-03-27	2020.234973
NODE_0000842	2019-12-19	2019.966996
EPI_ISL_419220	2020-01-09	2020.021858
NODE_0000843	2020-01-02	2020.002732
EPI_ISL_405813	2020-01-06	2020.013661
EPI_ISL_525440	2020-01-02	2020.002732
NODE_0000844	2019-12-17	2019.960248
EPI_ISL_404993	2020-01-16	2020.040984
NODE_0000845	2020-01-19	2020.050243
EPI_ISL_418266	2020-02-17	2020.128415
NODE_0000846	2020-02-20	2020.136612
EPI_ISL_525463	2020-03-03	2020.169399
EPI_ISL_525449	2020-02-20	2020.136612
EPI_ISL_525451	2020-02-21	2020.139344
EPI_ISL_525452	2020-02-21	2020.139344
NODE_0000020	2020-02-21	2020.140974
EPI_ISL_525454	2020-02-22	2020.142077
NODE_0000021	2020-02-22	2020.142077
EPI_ISL_525453	2020-02-22	2020.142077
NODE_0000022	2020-02-24	2020.147541
EPI_ISL_525455	2020-02-24	2020.147541
NODE_0000023	2020-02-26	2020.153005
EPI_ISL_525464	2020-02-26	2020.153005
NODE_0000024	2020-02-29	2020.161202
EPI_ISL_525465	2020-02-29	2020.161202
EPI_ISL_525462	2020-03-01	2020.163934
NODE_0000850	2020-02-14	2020.122215
EPI_ISL_846584	2020-04-17	2020.292350
EPI_ISL_846585	2020-05-13	2020.363388
NODE_0000026	2020-02-26	2020.155690
EPI_ISL_780096	2020-03-25	2020.229508
NODE_0000853	2020-03-21	2020.219665
EPI_ISL_810963	2020-04-14	2020.284153
EPI_ISL_833485	2020-04-14	2020.284153
EPI_ISL_833488	2020-04-18	2020.295082
EPI_ISL_833580	2020-04-18	2020.295082
